Category|Descript
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ASSAULT|BATTERY
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|CONSPIRACY
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|VIOLATION OF MUNICIPAL CODE
ASSAULT|BATTERY
ROBBERY|ATTEMPTED ROBBERY ON THE STREET WITH A GUN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
LARCENY/THEFT|GRAND THEFT FROM PERSON
ASSAULT|THREATS AGAINST LIFE
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
ASSAULT|BATTERY OF A POLICE OFFICER
VEHICLE THEFT|STOLEN AND RECOVERED VEHICLE
LARCENY/THEFT|GRAND THEFT BICYCLE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|INFLICT INJURY ON COHABITEE
TRESPASS|TRESPASSING
FRAUD|CREDIT CARD, THEFT BY USE OF
MISSING PERSON|MISSING ADULT
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
OTHER OFFENSES|RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|PROBATION VIOLATION
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
FRAUD|FRAUDULENT CREDIT APPLICATION
ASSAULT|BATTERY
ASSAULT|BATTERY
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|PAROLE VIOLATION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
FRAUD|CREDIT CARD, THEFT BY USE OF
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|THREATS AGAINST LIFE
WARRANTS|WARRANT ARREST
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRIVING UNDER THE INFLUENCE|DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
FORGERY/COUNTERFEITING|FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS
BURGLARY|BURGLARY, FORCIBLE ENTRY
TRESPASS|TRESPASSING
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
WEAPON LAWS|POSS OF LOADED FIREARM
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
BURGLARY|BURGLARY, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|GRAND THEFT FROM PERSON
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DISORDERLY CONDUCT|DISTURBING THE PEACE, SWEARING
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
ASSAULT|INFLICT INJURY ON COHABITEE
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
SECONDARY CODES|DOMESTIC VIOLENCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ROBBERY|ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VEHICLE THEFT|STOLEN TRUCK
BURGLARY|BURGLARY, UNLAWFUL ENTRY
VEHICLE THEFT|STOLEN TRUCK
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
DRUG/NARCOTIC|SALE OF COCAINE
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
TRESPASS|TRESPASSING
SEX OFFENSES FORCIBLE|SEXUAL BATTERY
OTHER OFFENSES|PROBATION VIOLATION
ASSAULT|THREATS AGAINST LIFE
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE
OTHER OFFENSES|TRAFFIC VIOLATION
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
FRAUD|CREDIT CARD, THEFT BY USE OF
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM PERSON
SEX OFFENSES FORCIBLE|FORCIBLE RAPE, BODILY FORCE
WEAPON LAWS|FIREARM, ARMED WHILE POSSESSING CONTROLLED SUBSTANCE
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
FORGERY/COUNTERFEITING|CHECKS, MAKE OR PASS FICTITIOUS
WEAPON LAWS|CARRYING A CONCEALED WEAPON
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
OTHER OFFENSES|PEDDLING WITHOUT A LICENSE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT PICKPOCKET
ROBBERY|ROBBERY, BODILY FORCE
FRAUD|CREDIT CARD, THEFT BY USE OF
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
ROBBERY|ROBBERY, ARMED WITH A GUN
OTHER OFFENSES|FAILURE TO HEED RED LIGHT AND SIREN
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
LARCENY/THEFT|GRAND THEFT FROM PERSON
DRUG/NARCOTIC|MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|SALE OF AMPHETAMINE
DRUG/NARCOTIC|POSSESSION OF OPIATES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES|FALSE EVIDENCE OF VEHICLE REGISTRATION
OTHER OFFENSES|CONSPIRACY
MISSING PERSON|MISSING ADULT
BURGLARY|BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
BURGLARY|BURGLARY, UNLAWFUL ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT PICKPOCKET
OTHER OFFENSES|RESISTING ARREST
BURGLARY|BURGLARY, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|TARASOFF REPORT
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|SEARCH WARRANT SERVICE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
OTHER OFFENSES|OBSTRUCTIONS ON STREETS/SIDEWALKS
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
ROBBERY|ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY, HOT PROWL, UNLAWFUL ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|LOST PROPERTY
FAMILY OFFENSES|IMMORAL ACTS OR DRUNK IN PRESENCE OF CHILD
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|BATTERY
WEAPON LAWS|POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
OTHER OFFENSES|CONSPIRACY
ASSAULT|BATTERY
FRAUD|FALSE ID TO PEACE OFFICER
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|IMPOUNDED VEHICLE
KIDNAPPING|CHILD STEALING
ASSAULT|INFLICT INJURY ON COHABITEE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|MISCELLANEOUS STATE FELONY
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|PAROLE VIOLATION
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DISORDERLY CONDUCT|MAINTAINING A PUBLIC NUISANCE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|THREATS AGAINST LIFE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
ROBBERY|ROBBERY, ARMED WITH A GUN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
OTHER OFFENSES|RESISTING ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
PROSTITUTION|LOITERING FOR PURPOSE OF PROSTITUTION
SUSPICIOUS OCC|SUSPICIOUS PERSON
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT BICYCLE
MISSING PERSON|MISSING ADULT
OTHER OFFENSES|TRAFFIC VIOLATION
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|MISSING ADULT
ASSAULT|BATTERY
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|PETTY THEFT BICYCLE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
SECONDARY CODES|DOMESTIC VIOLENCE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|LOST PROPERTY, PETTY THEFT
ROBBERY|ROBBERY, ARMED WITH A KNIFE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|PAROLE VIOLATION
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
WARRANTS|WARRANT ARREST
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
NON-CRIMINAL|FOUND PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
NON-CRIMINAL|LOST PROPERTY
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
DISORDERLY CONDUCT|COMMITTING PUBLIC NUISANCE
ASSAULT|BATTERY
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
VEHICLE THEFT|RECOVERED VEHICLE - STOLEN OUTSIDE SF
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
MISSING PERSON|MISSING ADULT
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|TAMPERING WITH A VEHICLE
OTHER OFFENSES|CONSPIRACY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
FRAUD|CREDIT CARD, THEFT BY USE OF
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|OBSTRUCTIONS ON STREETS/SIDEWALKS
SECONDARY CODES|GANG ACTIVITY
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
BURGLARY|BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ROBBERY|ROBBERY OF A BANK WITH A GUN
LOITERING|BEGGING
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF HEROIN
BURGLARY|BURGLARY OF RESIDENCE, FORCIBLE ENTRY
OTHER OFFENSES|PAROLE VIOLATION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
ASSAULT|THREATS AGAINST LIFE
ASSAULT|BATTERY
FRAUD|CREDIT CARD, THEFT BY USE OF
WARRANTS|WARRANT ARREST
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
VEHICLE THEFT|STOLEN MOTORCYCLE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE FOR SALE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
OTHER OFFENSES|PAROLE VIOLATION
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
SEX OFFENSES FORCIBLE|ASSAULT TO RAPE WITH A DANGEROUS WEAPON
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|THEFT OF COMPUTERS OR CELL PHONES
LARCENY/THEFT|GRAND THEFT PICKPOCKET
MISSING PERSON|FOUND PERSON
ASSAULT|BATTERY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|LOST PROPERTY
SECONDARY CODES|JUVENILE INVOLVED
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LIQUOR LAWS|CONSUMING ALCOHOL IN PUBLIC VIEW
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|FOUND PROPERTY
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
FRAUD|CREDIT CARD, THEFT BY USE OF
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
MISSING PERSON|MISSING ADULT
LARCENY/THEFT|GRAND THEFT OF PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|RESISTING ARREST
ARSON|ARSON OF A VEHICLE
DRUG/NARCOTIC|POSSESSION OF COCAINE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|PEDDLING WITHOUT A LICENSE
BURGLARY|BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY
MISSING PERSON|MISSING ADULT
WARRANTS|WARRANT ARREST
BURGLARY|BURGLARY, FORCIBLE ENTRY
ASSAULT|BATTERY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|THREATS AGAINST LIFE
OTHER OFFENSES|PAROLE VIOLATION
ASSAULT|INFLICT INJURY ON COHABITEE
WARRANTS|WARRANT ARREST
NON-CRIMINAL|PROPERTY FOR IDENTIFICATION
MISSING PERSON|FOUND PERSON
LOITERING|OBSTRUCTING PUBLIC THOROUGHFARE
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
NON-CRIMINAL|LOST PROPERTY
SUSPICIOUS OCC|SUSPICIOUS PERSON
ASSAULT|BATTERY
LARCENY/THEFT|PETTY THEFT OF PROPERTY
MISSING PERSON|MISSING JUVENILE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|PROBATION VIOLATION
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT OF PROPERTY
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
SUSPICIOUS OCC|SUSPICIOUS ACT TOWARDS FEMALE
ASSAULT|BATTERY
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|RESISTING ARREST
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
WEAPON LAWS|EXHIBITING DEADLY WEAPON IN A THREATING MANNER
ROBBERY|ATTEMPTED ROBBERY OF A BANK WITH BODILY FORCE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
FRAUD|CREDIT CARD, THEFT BY USE OF
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
FRAUD|FALSE PRETENSES, GRAND THEFT
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|TURNED IN GUN
ROBBERY|ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE
FRAUD|CREDIT CARD, THEFT BY USE OF
